Full_Species	SISRS_ID	Common_Name
Aotus nancymaae	AotNan	Nancy Ma's night monkey
Apodemus sylvaticus	ApoSyl	Wood mouse
Apodemus uralensis	ApoUra	Ural field mouse
Balaena mysticetus	BalMys	Bowhead whale
Bison bison	BisBis	American bison
Bos taurus	BosTau	Domestic cow
Bubalus bubalis	BubBub	Water buffalo
Callithrix jacchus	CalJac	Common marmoset
Capra aegagrus	CapAeg	Wild goat
Capra hircus	CapHir	Domestic goat
Colobus angolensis	ColAng	Angola colobus
Elaphurus davidianus	ElaDav	P̬re David's deer
Ellobius lutescens	EllLut	Transcaucasian mole vole
Giraffa tippelskirchi	GirTip	Masai giraffe
Gorilla gorilla	GorGor	Western gorilla
Hippopotamus amphibius	HipAmp	Hippopotamus
Homo sapiens	HomSap	Human
Hylobates moloch	HylMol	Silvery gibbon
Macaca mulatta	MacMul	Rhesus macaque
Macaca nemestrina	MacNem	Southern pig-tailed macaque
Mastomys coucha	MasCou	Southern multimammate mouse
Meriones unguiculatus	MerUng	Mongolian gerbil
Mus caroli	MusCar	Ryukyu mouse
Mus musculus	MusMus	House mouse
Mus spretus	MusSpr	Algerian mouse
Odocoileus virginianus	OdoVir	White-tailed deer
Okapia johnstoni	OkaJoh	Okapi
Ovis aries	OviAri	Domestic sheep
Pan paniscus	PanPan	Bonobo
Pan troglodytes	PanTro	Chimpanzee
Papio anubis	PapAnu	Olive baboon
Papio cynocephalus	PapCyn	Yellow baboon
Peromyscus leucopus	PerLeu	White-footed mouse
Psammomys obesus	PsaObe	Fat sand rat
Rattus nitidus	RatNit	Himalayan field rat
Rattus norvegicus	RatNor	Brown rat
